year;USD;EUR;JPY;GBP;CAD;CHF
1978;193,4;149,64;0;137,96;0;0
1979;304,7;222,12;645,47;196,05;279,79;563,1
1980;614,5;453,84;1318,22;361,41;559,96;1140,53
1981;459,3;433,08;958,51;310,99;429,08;1000,11
1982;375,3;414,72;890,92;295,24;360,67;849,26
1983;423,7;527,88;956,42;382,5;407;986,79
1984;360,8;511,08;812,39;369,63;363,79;937,51
1985;317,3;472,92;719,14;337,43;337,19;864,8
1986;367,9;421,56;587,14;344,01;398,89;731,16
1987;446,2;439,32;612,4;373,33;461,99;738,59
1988;436,9;422,52;531,88;336,47;419,48;708,74
1989;380,8;390,6;499,14;318,8;351,94;691,42
1990;383,6;339,48;526,75;295,92;349,13;591,63
1991;362,3;334,08;462,69;281,54;323,7;576,42
1992;344;304,08;413,59;267,84;324,09;535,91
1993;359,8;361,56;378,89;328,39;362,54;590,74
1994;384,2;383,28;372,74;343,6;409,11;582,31
1995;384,1;350,28;342,87;333,32;411,22;503,72
1996;387,9;361,08;400,39;340,99;412,54;531,25
1997;331,3;351;380,07;277,29;357,4;533,36
1998;294,1;317,16;365,74;243,18;340,16;473,19
1999;278,6;313,68;300,67;235,78;322,84;464,31
2000;279,1;363,24;285,67;252,49;323,15;523,25
2001;271;363,48;312,54;257,97;327,37;507,6
2002;309,7;393,6;367,79;282,36;379,24;534,13
2003;363,3;385,44;399,47;304,41;396,32;542,24
2004;409,2;395,04;420,21;306,06;414,8;563,99
2005;444,5;429,96;466,07;335,51;419,56;615,83
2006;603,8;576,72;666,52;448,95;533,75;839,05
2007;695,4;608,16;776,55;475,39;579,93;924,41
2008;872;711,84;858,81;646,09;721,42;1044,95
2009;972,4;836,4;862,67;851,04;861,82;1168,05
2010;1224,5;1110,24;1017,54;1085,59;983,58;1413,92
2011;1571,5;1355,88;1186,59;1343,7;1214,07;1541,57
2012;1669;1558,44;1264,13;1442,61;1300,57;1737,37
2013;1411,2;1276,56;1303,2;1238,21;1131,94;1453,21
2014;1266,4;1143,36;1269,83;1052,3;1089,89;1284,49
2015;1160,1;1254,36;1333,75;1039,83;1154,87;1238,21
2016;1250,8;1355,4;1286,39;1270,4;1291,13;1366,3
2017;1257,2;1336,92;1339,04;1337,26;1272,18;1373,07
2018;1268,5;1288,44;1330,32;1300,95;1280,92;1376,96
2019;1392,6;1493,88;1441,02;1497,27;1440,89;1535,57
