ID;USD;EUR;JPY;GBP;CAD;CHF;INR;CNY;TRY;SAR;IDR;AED;THB;VND;EGP;KRW;RUB;ZAR;AUD
28853;226;137,1;0;110,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28856;226;137,1;0;110,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28857;226,8;137,3;43.164,90;111,5;263,7;359,6;1.792,90;0;0;735,6;138.160,50;851,3;4.454,60;0;0;107.470,00;0;194,6;193,6
28858;218,6;134;43.717,90;108;264,4;365,9;1.802,20;0;0;739,4;138.877,00;855,7;4.477,70;0;0;108.027,40;0;192,2;193
28859;223,2;136,8;43.674,90;110,7;264,1;366,4;1.811,70;0;0;743,4;139.616,30;860,3;4.501,50;0;0;108.602,50;0;193;194,6
28860;225,5;138,4;44.582,50;111,6;268,4;373,7;1.843,60;0;0;756,4;142.069,10;875,4;4.580,60;0;0;110.510,40;0;196,4;197,9
28863;223,1;136,4;44.436,20;110,2;269,5;372,6;1.841,30;0;0;750,9;141.870,90;869,7;4.574,20;0;0;110.356,30;0;197,2;197,9
28864;224;137,3;44.045,60;111;266,3;372,8;1.822,50;0;0;743,3;140.446,70;860,9;4.528,30;0;0;109.248,40;0;195;195,9
28865;220,7;135,5;43.366,40;109,9;261,8;365,9;1.803,50;0;0;735,6;138.981,00;852;4.481,00;0;0;108.108,30;0;192;192,7
28866;220,7;135,9;43.770,60;110,2;262,5;370,9;1.814,60;0;0;740,1;139.833,80;857,2;4.508,50;0;0;108.771,70;0;192,4;193,8
28867;217,6;134,1;42.837,10;109;257,2;364,6;1.782,60;0;0;727,1;137.371,80;842,1;4.429,10;0;0;106.856,60;0;187,1;189,8
28870;216,9;133,8;42.795,30;108,8;256,8;367,8;1.782,00;0;0;718,1;135.122,40;825,5;4.374,70;0;0;106.819,80;0;187,3;189,8
28871;220,7;135,6;43.225,90;110,2;260,9;367,7;1.796,50;0;0;724;136.222,90;832,3;4.410,40;0;0;107.689,80;0;189,3;191,9
28872;227,3;139,2;44.349,70;113,3;267,6;376,2;1.842,10;0;0;742,3;139.676,20;853,4;4.522,20;0;0;110.419,80;0;196;197,1
28873;231,8;141,7;44.823,40;115,3;270,8;379,1;1.861,70;0;0;750,3;141.168,10;862,5;4.570,50;0;0;111.599,20;0;197,1;199
28874;230,6;141,1;46.908,80;115,1;280,9;396,1;1.940,80;0;0;782,1;147.159,40;899,1;4.764,40;0;0;116.335,50;0;206,5;207,6
28877;235;144;46.387,40;117,6;278,3;393,5;1.886,90;0;0;781,1;146.492,80;898,4;4.746,60;0;0;115.493,30;0;203,5;205,7
28878;230;141,1;45.633,10;115,2;273,3;386,8;1.895,40;0;0;768,4;144.110,70;883,8;4.669,50;0;0;113.615,30;0;200,7;202
28879;236,1;144,7;46.372,40;118,1;278,9;392,8;1.926,10;0;0;780,9;146.445,40;898,1;4.745,10;0;0;115.456,00;0;203,9;205,6
28880;233,9;144;46.890,30;117,3;280,1;397,2;1.937,80;0;0;785,6;147.335,80;903,6;4.774,00;0;0;116.157,90;0;205,2;206,5
28881;235,5;144,6;46.801,30;118;279,6;394,6;1.929,30;0;0;782,2;146.687,10;899,6;4.752,90;0;0;115.646,50;0;204,3;206
28884;235,2;145,3;46.917,30;117,9;279,3;395,3;1.887,00;0;0;780;146.264,70;896,1;4.721,90;0;0;115.498,50;0;203,1;206
28885;233,5;144,1;46.907,20;116,9;278,5;394,2;1.921,60;0;0;777,9;145.868,40;893,7;4.709,10;0;0;115.185,50;0;203,1;205,6
28886;233,7;144,8;45.160,30;117,4;267,1;379,3;1.840,80;0;0;745,2;139.739,30;856,1;4.511,30;0;0;108.235,80;0;194,5;197,2
28887;229,4;142,9;47.160,50;115,8;279,2;397,1;1.927,10;0;0;780,1;146.291,20;896,3;4.722,80;0;0;113.310,70;0;202,3;205,8
28888;230,3;143,5;46.328,30;116,3;275,5;393;1.907,40;0;0;772,1;144.790,60;887,1;4.674,30;0;0;112.148,30;0;199,4;203,5
28891;243,1;150,3;47.766,00;122,2;285,8;403,9;1.971,90;0;0;800,5;149.178,80;909,7;4.797,30;0;0;115.919,10;0;207;210,9
28892;244,5;150,8;48.317,70;122,6;289,7;408,7;1.996,80;0;0;810,8;151.091,60;921,4;4.858,80;0;0;117.405,40;0;211;214
28893;251,6;153,7;48.835,70;124,9;296,9;412,3;2.031,00;0;0;824,6;153.677,80;937,2;4.942,00;0;0;119.415,10;0;215,6;218,4
28894;250,5;153,5;50.293,30;124,9;303,3;420,6;2.081,00;0;0;845;157.467,50;960,3;5.063,90;0;0;122.359,80;0;217,6;223,1
28895;246,8;151,3;48.548,60;123,3;291,4;405,7;2.000,90;0;0;812,6;151.432,50;923,5;4.869,80;0;0;117.670,30;0;208,8;214,7
