ID;USD;CAD-T;EUR-T;GBP-T;RUB-T;CHF-T;CNY-T;JPY-T;KRW-T;TRY-T;EGP-T;SAR-T;AED-T;INR-T;IDR-T;THB-T;VND-T;ZAR-T;AUD-T
29/12/1978;226;0;164,52;151,659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/1979;226;0;164,52;151,659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/01/1979;226,8;205,686;164,76;152,755;0;399,156;0;314,8424508;95,65;0;0;198,612;229,851;25,1;9,81;147;0;13,0382;149,072
03/01/1979;218,6;206,232;160,8;147,96;0;406,149;0;318,8760029;96,14;0;0;199,638;231,039;25,23;9,86;147,76;0;12,8774;148,61
04/01/1979;223,2;205,998;164,16;151,659;0;406,704;0;318,5623632;96,66;0;0;200,718;232,281;25,36;9,91;148,55;0;12,931;149,842
05/01/1979;225,5;209,352;166,08;152,892;0;414,807;0;325,1823487;98,35;0;0;204,228;236,358;25,81;10,09;151,16;0;13,1588;152,383
08/01/1979;223,1;210,21;163,68;150,974;0;413,586;0;324,1152443;98,22;0;0;202,743;234,819;25,78;10,07;150,95;0;13,2124;152,383
09/01/1979;224;207,714;164,76;152,07;0;413,808;0;321,266229;97,23;0;0;200,691;232,443;25,52;9,97;149,43;0;13,065;150,843
10/01/1979;220,7;204,204;162,6;150,563;0;406,149;0;316,3121809;96,22;0;0;198,612;230,04;25,25;9,87;147,87;0;12,864;148,379
11/01/1979;220,7;204,75;163,08;150,974;0;411,699;0;319,2603939;96,81;0;0;199,827;231,444;25,4;9,93;148,78;0;12,8908;149,226
12/01/1979;217,6;200,616;160,92;149,33;0;404,706;0;312,4514953;95,1;0;0;196,317;227,367;24,96;9,75;146,16;0;12,5357;146,146
15/01/1979;216,9;200,304;160,56;149,056;0;408,258;0;312,1466083;95,07;0;0;193,887;222,885;24,95;9,59;144,37;0;12,5491;146,146
16/01/1979;220,7;203,502;162,72;150,974;0;408,147;0;315,2873815;95,84;0;0;195,48;224,721;25,15;9,67;145,54;0;12,6831;147,763
17/01/1979;227,3;208,728;167,04;155,221;0;417,582;0;323,484318;98,27;0;0;200,421;230,418;25,79;9,92;149,23;0;13,132;151,767
18/01/1979;231,8;211,224;170,04;157,961;0;420,801;0;326,9394602;99,32;0;0;202,581;232,875;26,06;10,02;150,83;0;13,2057;153,23
19/01/1979;230,6;219,102;169,32;157,687;0;439,671;0;342,1502553;103,54;0;0;211,167;242,757;27,17;10,45;157,23;0;13,8355;159,852
22/01/1979;235;217,074;172,8;161,112;0;436,785;0;338,3471918;102,79;0;0;210,897;242,568;26,42;10,4;156,64;0;13,6345;158,389
23/01/1979;230;213,174;169,32;157,824;0;429,348;0;332,8453683;101,12;0;0;207,468;238,626;26,54;10,23;154,09;0;13,4469;155,54
24/01/1979;236,1;217,542;173,64;161,797;0;436,008;0;338,2377826;102,76;0;0;210,843;242,487;26,97;10,4;156,59;0;13,6613;158,312
25/01/1979;233,9;218,478;172,8;160,701;0;440,892;0;342,0153173;103,38;0;0;212,112;243,972;27,13;10,46;157,54;0;13,7484;159,005
26/01/1979;235,5;218,088;173,52;161,66;0;438,006;0;341,3661561;102,93;0;0;211,194;242,892;27,01;10,41;156,85;0;13,6881;158,62
29/01/1979;235,2;217,854;174,36;161,523;0;438,783;0;342,2122538;102,79;0;0;210,6;241,947;26,42;10,38;155,82;0;13,6077;158,62
30/01/1979;233,5;217,23;172,92;160,153;0;437,562;0;342,138585;102,52;0;0;210,033;241,299;26,9;10,36;155,4;0;13,6077;158,312
31/01/1979;233,7;208,338;173,76;160,838;0;421,023;0;329,3967907;96,33;0;0;201,204;231,147;25,77;9,92;148,87;0;13,0315;151,844
01/02/1979;229,4;217,776;171,48;158,646;0;440,781;0;343,9861415;100,85;0;0;210,627;242,001;26,98;10,39;155,85;0;13,5541;158,466
02/02/1979;230,3;214,89;172,2;159,331;0;436,23;0;337,9161196;99,81;0;0;208,467;239,517;26,7;10,28;154,25;0;13,3598;156,695
05/02/1979;243,1;222,924;180,36;167,414;0;448,329;0;348,4026258;103,17;0;0;216,135;245,619;27,61;10,59;158,31;0;13,869;162,393
06/02/1979;244,5;225,966;180,96;167,962;0;453,657;0;352,4266958;104,49;0;0;218,916;248,778;27,96;10,73;160,34;0;14,137;164,78
07/02/1979;251,6;231,582;184,44;171,113;0;457,653;0;356,2049599;106,28;0;0;222,642;253,044;28,43;10,91;163,09;0;14,4452;168,168
